{plotter:0.000000,1.000000,1.000000,1.000000,0.000000,1.576586}
{voltage:the vol is 3.378 V}
{current:the cur is 0.036 A}
{plotter:0.257287,0.966335,1.244126,0.729553,0.358419,1.896916}
{voltage:the vol is 3.374 V}
{current:the cur is 0.013 A}
{plotter:0.497250,0.867607,1.444954,0.450453,0.806954,1.507171}
{voltage:the vol is 3.374 V}
{current:the cur is 0.010 A}
{plotter:0.703734,0.710463,1.587358,0.179889,1.069754,1.580927}
{voltage:the vol is 3.360 V}
{current:the cur is 0.008 A}
{plotter:0.862836,0.505484,1.659121,-0.066551,1.153860,0.855522}
{voltage:the vol is 3.364 V}
{current:the cur is 0.034 A}
{plotter:0.963843,0.266471,1.651831,-0.275855,1.337745,0.936422}
{voltage:the vol is 3.372 V}
{current:the cur is 0.033 A}
{plotter:0.999955,0.009516,1.561536,-0.438373,1.231285,0.429258}
{voltage:the vol is 3.381 V}
{current:the cur is 0.012 A}
{plotter:0.968740,-0.248080,1.389133,-0.548346,1.348684,0.116979}
{voltage:the vol is 3.399 V}
{current:the cur is 0.034 A}
{plotter:0.872300,-0.488972,1.140440,-0.604159,1.508124,-0.350446}
{voltage:the vol is 3.311 V}
{current:the cur is 0.028 A}
{plotter:0.717128,-0.696942,0.825957,-0.608298,1.548550,-0.642519}
{voltage:the vol is 3.333 V}
{current:the cur is 0.012 A}
{plotter:0.513672,-0.857987,0.460326,-0.567018,0.768809,-0.899246}
{voltage:the vol is 3.366 V}
{current:the cur is 0.027 A}
{plotter:0.275630,-0.961264,0.061513,-0.489748,0.344255,-1.164821}
{voltage:the vol is 3.354 V}
{current:the cur is 0.043 A}
{plotter:0.019031,-0.999819,-0.350222,-0.388284,0.769766,-1.126686}
{voltage:the vol is 3.385 V}
{current:the cur is 0.026 A}
{plotter:-0.238850,-0.971057,-0.753519,-0.275819,0.372289,-1.257425}
{voltage:the vol is 3.327 V}
{current:the cur is 0.030 A}
{plotter:-0.480649,-0.876913,-1.127187,-0.165890,-0.433643,-0.985949}
{voltage:the vol is 3.333 V}
{current:the cur is 0.007 A}
{plotter:-0.690086,-0.723727,-1.451476,-0.071304,-0.623035,-1.132597}
{voltage:the vol is 3.314 V}
{current:the cur is 0.037 A}
{plotter:-0.853060,-0.521813,-1.709261,-0.003142,-0.447844,-0.733701}
{voltage:the vol is 3.318 V}
{current:the cur is 0.041 A}
{plotter:-0.958597,-0.284765,-1.887074,0.030121,-0.620256,-0.516381}
{voltage:the vol is 3.399 V}
{current:the cur is 0.002 A}
{plotter:-0.999593,-0.028544,-1.975905,0.023280,-0.802633,-0.226208}
{voltage:the vol is 3.327 V}
{current:the cur is 0.039 A}
{plotter:-0.973285,0.229599,-1.971736,-0.025165,-0.926518,0.162653}
{voltage:the vol is 3.324 V}
